bank,review,rating,sentiment_label,sentiment_score
Commercial Bank of Ethiopia,very niec,5,NEUTRAL,0.5
Commercial Bank of Ethiopia,best app of finance,5,POSITIVE,0.99980229139328
Commercial Bank of Ethiopia,yetemeta,1,NEUTRAL,0.5
Commercial Bank of Ethiopia,Engida Kebede Fetera,5,NEGATIVE,0.8396735787391663
Commercial Bank of Ethiopia,it is not safety,1,POSITIVE,0.9971936345100403
Commercial Bank of Ethiopia,NICE bank,5,POSITIVE,0.9998055100440979
Commercial Bank of Ethiopia,it is like a childish app make it better the worst I have ever seen,1,NEGATIVE,0.9997552037239075
Commercial Bank of Ethiopia,"It's a problem solver application, go ahead CBE, I love so much.",5,POSITIVE,0.9959681034088135
Commercial Bank of Ethiopia,It's good but try to make it facilitate for your client,4,POSITIVE,0.9985858201980591
Commercial Bank of Ethiopia,best app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,Awesome bank,5,POSITIVE,0.9998461008071899
Commercial Bank of Ethiopia,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,NEGATIVE,0.9864322543144226
Commercial Bank of Ethiopia,Masha alla,5,NEGATIVE,0.9514626860618591
Commercial Bank of Ethiopia,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,NEGATIVE,0.996874213218689
Commercial Bank of Ethiopia,better service,5,POSITIVE,0.9997822642326355
Commercial Bank of Ethiopia,"it,s good app and time manager 👍",5,POSITIVE,0.9998489618301392
Commercial Bank of Ethiopia,malkaamuu Jiidhaa Namoo,5,NEGATIVE,0.9887813329696655
Commercial Bank of Ethiopia,lower system everything,3,NEGATIVE,0.9997431635856628
Commercial Bank of Ethiopia,Nice!,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,Keep it up My CBE,5,POSITIVE,0.9966009855270386
Commercial Bank of Ethiopia,yes good,5,POSITIVE,0.9998410940170288
Commercial Bank of Ethiopia,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,NEGATIVE,0.9966408014297485
Commercial Bank of Ethiopia,i like everything of this app,5,POSITIVE,0.9840216040611267
Commercial Bank of Ethiopia,🤬🤬🤬🤬 network 🛜,1,POSITIVE,0.9776424169540405
Commercial Bank of Ethiopia,Best,5,POSITIVE,0.9995703101158142
Commercial Bank of Ethiopia,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,POSITIVE,0.9875025749206543
Commercial Bank of Ethiopia,nice,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,good job,5,POSITIVE,0.999835729598999
Commercial Bank of Ethiopia,it's awesome!!,5,POSITIVE,0.9998682737350464
Commercial Bank of Ethiopia,thankyou every one,5,POSITIVE,0.9998428821563721
Commercial Bank of Ethiopia,Ronaldo 🇵🇹 🥇,5,POSITIVE,0.9992672801017761
Commercial Bank of Ethiopia,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,POSITIVE,0.9997991919517517
Commercial Bank of Ethiopia,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,NEGATIVE,0.9994133710861206
Commercial Bank of Ethiopia,mortuary app,5,NEGATIVE,0.7924917340278625
Commercial Bank of Ethiopia,it is smart app but it has stoped after some period of time on my device with out any reason .,5,NEGATIVE,0.7012108564376831
Commercial Bank of Ethiopia,amazing app I am used this app for one year,4,POSITIVE,0.9998408555984497
Commercial Bank of Ethiopia,good app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,i love it 😍😘,5,POSITIVE,0.9998735189437866
Commercial Bank of Ethiopia,It makes life easy!👌,5,POSITIVE,0.999527096748352
Commercial Bank of Ethiopia,its not fast,1,POSITIVE,0.9989494681358337
Commercial Bank of Ethiopia,it is sooo good,5,POSITIVE,0.9998644590377808
Commercial Bank of Ethiopia,excellent,5,POSITIVE,0.9998434782028198
Commercial Bank of Ethiopia,Fantastic,5,POSITIVE,0.9998743534088135
Commercial Bank of Ethiopia,accessible to using,5,POSITIVE,0.999811589717865
Commercial Bank of Ethiopia,I like it,4,POSITIVE,0.9910564422607422
Commercial Bank of Ethiopia,why you change default network?,5,NEGATIVE,0.9772279858589172
Commercial Bank of Ethiopia,very nice 👍,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,nice fast app,5,POSITIVE,0.999833345413208
Commercial Bank of Ethiopia,how to I get my money,5,POSITIVE,0.9659326076507568
Commercial Bank of Ethiopia,"Very bad, can't even load they need to improve their services.",1,NEGATIVE,0.9985571503639221
Commercial Bank of Ethiopia,"Very good app, but please make it reliable . it crashes sometimes .",4,POSITIVE,0.9993988275527954
Commercial Bank of Ethiopia,very busy I don't know why... I prefer 889,3,NEGATIVE,0.9723219275474548
Commercial Bank of Ethiopia,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,NEGATIVE,0.9992411136627197
Commercial Bank of Ethiopia,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,NEGATIVE,0.9906041026115417
Commercial Bank of Ethiopia,hojii bonsaadha,5,POSITIVE,0.9568662047386169
Commercial Bank of Ethiopia,user-friendly apps.because this app is easy.,5,POSITIVE,0.9694821238517761
Commercial Bank of Ethiopia,Awosome!!!,5,NEGATIVE,0.6613024473190308
Commercial Bank of Ethiopia,"Very good app,",5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,NEGATIVE,0.9963622689247131
Commercial Bank of Ethiopia,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,POSITIVE,0.9813903570175171
Commercial Bank of Ethiopia,I hate this app 😒,1,NEGATIVE,0.9996696710586548
Commercial Bank of Ethiopia,trustful,5,POSITIVE,0.9998213648796082
Commercial Bank of Ethiopia,I like,5,POSITIVE,0.9910564422607422
Commercial Bank of Ethiopia,update issue,4,NEUTRAL,0.5
Commercial Bank of Ethiopia,its not working over safari network,1,NEUTRAL,0.5
Commercial Bank of Ethiopia,oldie,1,NEGATIVE,0.6663156747817993
Commercial Bank of Ethiopia,it doesn't work,1,POSITIVE,0.9994449019432068
Commercial Bank of Ethiopia,"This app is good, and we are using it well",1,POSITIVE,0.9998369216918945
Commercial Bank of Ethiopia,very nice 👌 app for android phone,5,POSITIVE,0.9996562004089355
Commercial Bank of Ethiopia,Yes Yes,5,POSITIVE,0.9997482895851135
Commercial Bank of Ethiopia,በጣም ከርፋፋ,1,NEGATIVE,0.7850591540336609
Commercial Bank of Ethiopia,easy to use helpful in my life,5,POSITIVE,0.9875379800796509
Commercial Bank of Ethiopia,good 👍,4,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,the best mobile banking app,5,POSITIVE,0.9997872710227966
Commercial Bank of Ethiopia,"this app is very useful app,it saves time,and it is secure",4,POSITIVE,0.9361007213592529
Commercial Bank of Ethiopia,it's a good application 👍,5,POSITIVE,0.999854564666748
Commercial Bank of Ethiopia,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,NEGATIVE,0.9992865920066833
Commercial Bank of Ethiopia,poor service,1,NEGATIVE,0.9996534585952759
Commercial Bank of Ethiopia,amazing,5,POSITIVE,0.999875545501709
Commercial Bank of Ethiopia,it is reliable and easy to use.,5,POSITIVE,0.9996548891067505
Commercial Bank of Ethiopia,the most annoying mobile banking app I've ever seen,1,NEGATIVE,0.9995230436325073
Commercial Bank of Ethiopia,Cbe mobile banking,5,POSITIVE,0.830427885055542
Commercial Bank of Ethiopia,"i can't make Screenshout in this app, please made modification",5,NEGATIVE,0.9933184385299683
Commercial Bank of Ethiopia,Best app I loved it,5,POSITIVE,0.9998713731765747
Commercial Bank of Ethiopia,nice app,5,POSITIVE,0.9998061060905457
Commercial Bank of Ethiopia,Amazing applicatiom sometimes doesnt work!,5,POSITIVE,0.9998691082000732
Commercial Bank of Ethiopia,well satisfied with this beautiful app,5,POSITIVE,0.9998741149902344
Commercial Bank of Ethiopia,very good,4,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,best app.,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,"not working,why???",5,POSITIVE,0.9994449019432068
Commercial Bank of Ethiopia,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,POSITIVE,0.9929900169372559
Commercial Bank of Ethiopia,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,NEGATIVE,0.9995856881141663
Commercial Bank of Ethiopia,woxe harimo ribiso,5,NEGATIVE,0.9374371767044067
Commercial Bank of Ethiopia,"Good ,easy to use",5,POSITIVE,0.9997110962867737
Commercial Bank of Ethiopia,Good app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,Good job👍,5,POSITIVE,0.999835729598999
Commercial Bank of Ethiopia,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,NEGATIVE,0.9620084762573242
Commercial Bank of Ethiopia,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,POSITIVE,0.9838687777519226
Commercial Bank of Ethiopia,customer service is bad nothing is good about this bank,1,NEGATIVE,0.9979888200759888
Commercial Bank of Ethiopia,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,POSITIVE,0.9996312856674194
Commercial Bank of Ethiopia,fast and simple easy to use 👌,5,POSITIVE,0.9955869913101196
Commercial Bank of Ethiopia,The fastest transferring app I ever had its so reliable,5,POSITIVE,0.9964690208435059
Commercial Bank of Ethiopia,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,NEGATIVE,0.9201806783676147
Commercial Bank of Ethiopia,it's easy and fast,5,POSITIVE,0.997892439365387
Commercial Bank of Ethiopia,This app don't have self activation only you have to look near cbe branch that's disgusting,1,NEGATIVE,0.9990290403366089
Commercial Bank of Ethiopia,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,POSITIVE,0.9988977909088135
Commercial Bank of Ethiopia,wow best application ever,5,POSITIVE,0.9998588562011719
Commercial Bank of Ethiopia,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,NEGATIVE,0.9997879862785339
Commercial Bank of Ethiopia,the pride of Ethiopian bank 🏦,5,POSITIVE,0.9983717799186707
Commercial Bank of Ethiopia,why the app telling me to turn of developer options please fix it.,1,NEGATIVE,0.9933870434761047
Commercial Bank of Ethiopia,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,POSITIVE,0.9923112988471985
Commercial Bank of Ethiopia,amazing apps,5,POSITIVE,0.9998670816421509
Commercial Bank of Ethiopia,All service of Mobile Banking,5,POSITIVE,0.7986071705818176
Commercial Bank of Ethiopia,needs improvement,1,NEGATIVE,0.983095109462738
Commercial Bank of Ethiopia,i miss the old one i couldn't send my mony to other bank..,1,NEGATIVE,0.9838460683822632
Commercial Bank of Ethiopia,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,POSITIVE,0.7608302235603333
Commercial Bank of Ethiopia,good but these week not oky,4,POSITIVE,0.9998664855957031
Commercial Bank of Ethiopia,well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,POSITIVE,0.9995181560516357
Commercial Bank of Ethiopia,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,POSITIVE,0.999433696269989
Commercial Bank of Ethiopia,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,NEGATIVE,0.9809257388114929
Commercial Bank of Ethiopia,CBE mobilr bankg,5,POSITIVE,0.8703054785728455
Commercial Bank of Ethiopia,verygood,3,POSITIVE,0.9988996982574463
Commercial Bank of Ethiopia,ممتاز جدا,5,NEGATIVE,0.8031744956970215
Commercial Bank of Ethiopia,it's very low quality application,1,NEGATIVE,0.9989878535270691
Commercial Bank of Ethiopia,Very Amazing Apps,5,POSITIVE,0.9998716115951538
Commercial Bank of Ethiopia,wow simple life,5,POSITIVE,0.9997076392173767
Commercial Bank of Ethiopia,it's nice,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,Why stacked sometimes,5,NEUTRAL,0.5
Commercial Bank of Ethiopia,okay 👍 but sometimes busy,1,POSITIVE,0.9769151210784912
Commercial Bank of Ethiopia,the worst commercial company that fails to do even the most normal things again and and again.,1,NEGATIVE,0.9997724890708923
Commercial Bank of Ethiopia,Very good app. but disappointed by general cessation of system.,5,NEGATIVE,0.6307945847511292
Commercial Bank of Ethiopia,Good and fast,5,POSITIVE,0.9998499155044556
Commercial Bank of Ethiopia,Unreliable!,1,NEGATIVE,0.9997265934944153
Commercial Bank of Ethiopia,Best the best fast,5,POSITIVE,0.9998626708984375
Commercial Bank of Ethiopia,happy,5,POSITIVE,0.9998753070831299
Commercial Bank of Ethiopia,fast and reliable,5,POSITIVE,0.9998382329940796
Commercial Bank of Ethiopia,network errorrrrrr,2,NEGATIVE,0.9978076815605164
Commercial Bank of Ethiopia,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,POSITIVE,0.8418854475021362
Commercial Bank of Ethiopia,its good and simple to use,5,POSITIVE,0.9997674822807312
Commercial Bank of Ethiopia,worest app like that bank for security and network access,1,NEGATIVE,0.9716221690177917
Commercial Bank of Ethiopia,it's the best app i,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,not bad not good,1,POSITIVE,0.9997218251228333
Commercial Bank of Ethiopia,its very nice,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,do not work this week,3,POSITIVE,0.9412039518356323
Commercial Bank of Ethiopia,It crashes frequently,4,NEGATIVE,0.9985750913619995
Commercial Bank of Ethiopia,the best,5,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,"I can simply describe this app as ""Making all your work easier"".",5,POSITIVE,0.9944619536399841
Commercial Bank of Ethiopia,goid,5,NEGATIVE,0.7087001204490662
Commercial Bank of Ethiopia,best appearance,5,POSITIVE,0.9998477697372437
Commercial Bank of Ethiopia,it's very good 👍 app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,I need support you,5,NEGATIVE,0.9610944390296936
Commercial Bank of Ethiopia,the worst Mobile banking i have ever seen in my life,1,NEGATIVE,0.999639630317688
Commercial Bank of Ethiopia,super,5,POSITIVE,0.998783528804779
Commercial Bank of Ethiopia,ጠጀጨገጀ።ጀገ,5,NEGATIVE,0.8337253928184509
Commercial Bank of Ethiopia,i like the app,5,POSITIVE,0.9840216040611267
Commercial Bank of Ethiopia,the Best,1,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,to other bank is bad,1,NEGATIVE,0.9997609257698059
Commercial Bank of Ethiopia,tank's,5,NEGATIVE,0.9976772665977478
Commercial Bank of Ethiopia,its good but add more features such like. bank statement showing,5,POSITIVE,0.9995484948158264
Commercial Bank of Ethiopia,it is so nice,5,POSITIVE,0.9998552799224854
Commercial Bank of Ethiopia,Very Good👍,5,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,NEGATIVE,0.9966384172439575
Commercial Bank of Ethiopia,"wow, amazing app",5,POSITIVE,0.9998513460159302
Commercial Bank of Ethiopia,use ful,5,NEGATIVE,0.9949980974197388
Commercial Bank of Ethiopia,Great app,5,POSITIVE,0.999821126461029
Commercial Bank of Ethiopia,well app,5,POSITIVE,0.9684573411941528
Commercial Bank of Ethiopia,Actually it is inactive,4,NEGATIVE,0.9996507167816162
Commercial Bank of Ethiopia,"slow, only one account is used",2,NEGATIVE,0.9997429251670837
Commercial Bank of Ethiopia,always CBE is the leading Commercial Bank💪💪💪,5,POSITIVE,0.9924538731575012
Commercial Bank of Ethiopia,i like it,5,POSITIVE,0.9910564422607422
Commercial Bank of Ethiopia,why removing screenshot feature why?,1,NEGATIVE,0.9980311989784241
Commercial Bank of Ethiopia,nice apps where network is good in connection,5,POSITIVE,0.9998015761375427
Commercial Bank of Ethiopia,Thank you!!!,5,POSITIVE,0.9998283386230469
Commercial Bank of Ethiopia,i can't take screenshot,1,POSITIVE,0.9906129837036133
Commercial Bank of Ethiopia,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,POSITIVE,0.9863091707229614
Commercial Bank of Ethiopia,perfectly special,5,POSITIVE,0.999879002571106
Commercial Bank of Ethiopia,Fast and Reliable,5,POSITIVE,0.9998382329940796
Commercial Bank of Ethiopia,The best application I have ever seen in Ethiopia banking industry.,5,POSITIVE,0.9986339211463928
Commercial Bank of Ethiopia,great app!!!,5,POSITIVE,0.999821126461029
Commercial Bank of Ethiopia,because sometimes it doesn't working it load too much,3,NEGATIVE,0.9948247671127319
Commercial Bank of Ethiopia,"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,POSITIVE,0.9998699426651001
Commercial Bank of Ethiopia,very nice app ever!!!,5,POSITIVE,0.9998061060905457
Commercial Bank of Ethiopia,the best app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,Biometric security for mobile banking is not available,5,POSITIVE,0.9248898029327393
Commercial Bank of Ethiopia,great,5,POSITIVE,0.9998630285263062
Commercial Bank of Ethiopia,Nice service,5,POSITIVE,0.9998397827148438
Commercial Bank of Ethiopia,great app,5,POSITIVE,0.999821126461029
Commercial Bank of Ethiopia,it's special apps,5,POSITIVE,0.9957538843154907
Commercial Bank of Ethiopia,"In the updated version of the app, it takes more time to download the receipt.",3,NEGATIVE,0.9705683588981628
Commercial Bank of Ethiopia,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,NEGATIVE,0.8616330027580261
Commercial Bank of Ethiopia,Good 🔥,5,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,very interesting app i am using every day fantastic,5,POSITIVE,0.9998631477355957
Commercial Bank of Ethiopia,lebaa bank,5,NEGATIVE,0.9437295198440552
Commercial Bank of Ethiopia,Can't scan/recognize other banks' Interoperable QR Codes,1,NEGATIVE,0.9952208399772644
Commercial Bank of Ethiopia,grateful app,5,POSITIVE,0.9998038411140442
Commercial Bank of Ethiopia,100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,POSITIVE,0.9976649284362793
Commercial Bank of Ethiopia,everthing wellbeok,3,POSITIVE,0.9855868816375732
Commercial Bank of Ethiopia,"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,NEGATIVE,0.9292347431182861
Commercial Bank of Ethiopia,nice app 👌,5,POSITIVE,0.9998061060905457
Commercial Bank of Ethiopia,why did this app is not screenshot,5,POSITIVE,0.9535915851593018
Commercial Bank of Ethiopia,it so good app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,جميل,5,POSITIVE,0.9271727800369263
Commercial Bank of Ethiopia,"less network, specially to make fee for utility purpose",1,NEGATIVE,0.965831995010376
Commercial Bank of Ethiopia,simply for used,4,POSITIVE,0.9956340193748474
Commercial Bank of Ethiopia,wow keep up,5,POSITIVE,0.999592125415802
Commercial Bank of Ethiopia,its great app but when updating we can't take screen shot please try to fix it,3,POSITIVE,0.9984031319618225
Commercial Bank of Ethiopia,good one,5,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,everything is easy thank you cebe,5,POSITIVE,0.9997822642326355
Commercial Bank of Ethiopia,ፈጣን ቀልጣፋ,5,NEGATIVE,0.7850591540336609
Commercial Bank of Ethiopia,but this app says can't sync,5,POSITIVE,0.9103952050209045
Commercial Bank of Ethiopia,to slow,3,NEGATIVE,0.9997313618659973
Commercial Bank of Ethiopia,work on screen shot system,4,NEGATIVE,0.632208526134491
Commercial Bank of Ethiopia,very very nice aplication,1,POSITIVE,0.9995850920677185
Commercial Bank of Ethiopia,wonder full and it is easy to use,5,POSITIVE,0.9979538917541504
Commercial Bank of Ethiopia,easy and reliable,2,POSITIVE,0.9998021721839905
Commercial Bank of Ethiopia,it is Very Useful app 👍,5,POSITIVE,0.9991915822029114
Commercial Bank of Ethiopia,perfect app,5,POSITIVE,0.9998340606689453
Commercial Bank of Ethiopia,I like it.,5,POSITIVE,0.9910564422607422
Commercial Bank of Ethiopia,bugs,3,NEGATIVE,0.9996434450149536
Commercial Bank of Ethiopia,commerial Bank,5,NEGATIVE,0.6810256242752075
Commercial Bank of Ethiopia,Genat biru,2,NEGATIVE,0.966159999370575
Commercial Bank of Ethiopia,it is good but it doesn't allow screen shot,4,POSITIVE,0.9998487234115601
Commercial Bank of Ethiopia,the best one,5,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,You need to copy many things from other bank apps like Amole(Dashen),2,NEGATIVE,0.9857897162437439
Commercial Bank of Ethiopia,bring back the screenshot feature.,1,POSITIVE,0.9992043375968933
Commercial Bank of Ethiopia,Good!👍,3,POSITIVE,0.9998161196708679
Commercial Bank of Ethiopia,best app to experience him that to smooth transaction among the customers,1,POSITIVE,0.9996668100357056
Commercial Bank of Ethiopia,nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,POSITIVE,0.866966724395752
Commercial Bank of Ethiopia,easy to use,5,POSITIVE,0.9884273409843445
Commercial Bank of Ethiopia,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,POSITIVE,0.9948650002479553
Commercial Bank of Ethiopia,ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,NEGATIVE,0.8428704738616943
Commercial Bank of Ethiopia,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,POSITIVE,0.9168736338615417
Commercial Bank of Ethiopia,cool ❤,4,POSITIVE,0.9998509883880615
Commercial Bank of Ethiopia,Best app,5,POSITIVE,0.9998493194580078
Commercial Bank of Ethiopia,best banking App,4,POSITIVE,0.999841570854187
Commercial Bank of Ethiopia,satisfied,5,POSITIVE,0.9997739195823669
Commercial Bank of Ethiopia,this app is very necessary app many people found it,5,POSITIVE,0.9948645234107971
Commercial Bank of Ethiopia,cbe very active Bank I'm using CBE app very very satisfaction,5,POSITIVE,0.9536442756652832
Commercial Bank of Ethiopia,It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,POSITIVE,0.9834052324295044
Commercial Bank of Ethiopia,perfect,5,POSITIVE,0.9998517036437988
Commercial Bank of Ethiopia,thankyou,5,POSITIVE,0.9998428821563721
Commercial Bank of Ethiopia,I Like it,5,POSITIVE,0.9910564422607422
Commercial Bank of Ethiopia,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,NEGATIVE,0.999021053314209
Commercial Bank of Ethiopia,smart app,5,POSITIVE,0.999789297580719
Commercial Bank of Ethiopia,isin ga'a,2,POSITIVE,0.76072758436203
Commercial Bank of Ethiopia,it's great,5,POSITIVE,0.9998630285263062
Commercial Bank of Ethiopia,very good app and stars faction with work,5,POSITIVE,0.9997707009315491
Commercial Bank of Ethiopia,It is excelent,5,POSITIVE,0.9998672008514404
Commercial Bank of Ethiopia,Smart,5,POSITIVE,0.9998456239700317
Commercial Bank of Ethiopia,በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,NEGATIVE,0.944585382938385
Commercial Bank of Ethiopia,very interesting app,5,POSITIVE,0.9996960163116455
Commercial Bank of Ethiopia,wow.......cbe.....keep it up.....!!!!!!,5,POSITIVE,0.9987693428993225
Commercial Bank of Ethiopia,ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,NEGATIVE,0.932232677936554
Commercial Bank of Ethiopia,Excellent🙏app,5,POSITIVE,0.9998356103897095
Commercial Bank of Ethiopia,the most useful,5,POSITIVE,0.9997634291648865
Commercial Bank of Ethiopia,I am more satisfied in this app . More sure you have to secure.,4,POSITIVE,0.9997169375419617
Commercial Bank of Ethiopia,Easy to use,5,POSITIVE,0.9884273409843445
Commercial Bank of Ethiopia,"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,POSITIVE,0.9735454320907593
